,ngram,risk_factor,umls_id,umls_term
2089,Hepatic congestion,heart,C0267821,Hepatic congestion
2090,Hypertensive heart disease,heart,C0152105,Hypertensive heart disease
2091,Idioventricular rhythm,heart,C0700363,Idioventricular rhythm
2092,Inspiratory dyspnea,heart,C0277855,Inspiratory dyspnea
2093,Kabuki make-up syndrome,heart,C0796004,Kabuki make-up syndrome
2094,Larsen syndrome,heart,C0175778,Larsen syndrome
2095,Left atrial dilatation,heart,C0344720,Left atrial dilatation
2096,Left atrial hypertrophy,heart,C0238705,Left atrial hypertrophy
2097,Localized edema,heart,C0392752,Localized
2098,Localized edema,heart,C0013604,Edema
2099,Malignant pericardial effusion,heart,C0205282,Malignant - descriptor
2100,Malignant pericardial effusion,heart,C0031039,Pericardial effusion
2101,Mycotic pericarditis,heart,C0276647,Mycotic pericarditis
2102,Myocardial bridging,heart,C0948355,Myocardial bridging
2103,Myocardial calcification,heart,C1096561,Myocardial calcification
2104,Myocardial dysfunction,heart,C0340515,Myocardial dysfunction
2105,Myocardial fibrosis,heart,C0151654,Myocardial fibrosis
2106,Myocardial hemorrhage,heart,C0877077,Myocardial hemorrhage
2107,Myocardial necrosis,heart,C0027051,Myocardial Infarction
2108,Myocarditis,heart,C0027059,Myocarditis
2109,Myocarditis due to infectious agent,heart,C0027059,Myocarditis
2110,Myocarditis due to infectious agent,heart,C0314732,Infectious agent
2111,Myoglobinuria,heart,C0027080,Myoglobinuria
2112,Orthopnea,heart,C0085619,Orthopnea
2113,Osler's node,heart,C0240608,Osler's node
2114,Palpitations,heart,C0030252,Palpitations
2115,Parachute malformation of mitral valve,heart,C0546965,Parachute malformation of mitral valve
2116,Parachute malformation of mitral valve,heart,C0026264,Mitral Valve
2117,Paroxysmal nocturnal dyspnea,heart,C1956415,Paroxysmal nocturnal dyspnea
2118,Patent ductus arteriosus,heart,C0013274,Patent ductus arteriosus
2119,Pericardial effusion,heart,C0031039,Pericardial effusion
2120,Pericardial friction rub,heart,C0232267,Pericardial friction rub
2121,Pericarditis,heart,C0031046,Pericarditis
2122,Pericarditis secondary to uremia,heart,C0031046,Pericarditis
2123,Pericarditis secondary to uremia,heart,C0175668,Secondary to
2124,Pericarditis secondary to uremia,heart,C0041948,Uremia
2125,Peripheral edema,heart,C0085649,Peripheral edema
2126,Platypnea,heart,C0520825,Platypnea
2127,Pleuropericarditis,heart,C1167732,Pleuropericarditis
2128,Pneumopericardium,heart,C0032319,Pneumopericardium
2129,Postmyocardial infarction syndrome,heart,C0152107,Postmyocardial infarction syndrome
2130,Pulmonary congestion,heart,C0242073,Pulmonary congestion
2131,Pulmonary valve disorder,heart,C0034087,Pulmonary valve disorder
2132,Restrictive cardiomyopathy,heart,C0007196,Restrictive cardiomyopathy
2133,Right atrial dilatation,heart,C0344709,Right atrial dilatation
2134,Right atrial enlargement,heart,C0232308,P pulmonale by EKG (finding)
2135,Right bundle branch block,heart,C0085615,Right bundle branch block
2136,Right hypoplastic heart syndrome,heart,C0344963,Right hypoplastic heart syndrome
2137,Right ventricular failure,heart,C0235527,"Heart Failure, Right-Sided"
2138,Rupture of chordae tendineae,heart,C3203359,Rupture
2139,Rupture of chordae tendineae,heart,C0008484,Structure of chordae tendineae cordis
2140,Second degree atrioventricular block,heart,C0449286,Degree or extent
2141,Second degree atrioventricular block,heart,C0004245,Atrioventricular Block
2142,Senile cardiac amyloidosis,heart,C0268407,Senile cardiac amyloidosis
2143,Septic myocarditis,heart,C0155690,Septic myocarditis
2144,Sinus bradycardia,heart,C2108107,continuous electrocardiogram sinus bradycardia (finding)
2145,Staphylococcal endocarditis,heart,C0520767,Staphylococcal endocarditis
2146,Subacute endocarditis,heart,C0264863,Subacute endocarditis
2147,Subaortic stenosis,heart,C0340375,Subaortic stenosis
2148,Subendocardial hemorrhage,heart,C3671040,Subendocardial hemorrhage
2149,Sudden death,heart,C0011071,Sudden death
2150,Supraventricular arrhythmia,heart,C0428974,Supraventricular arrhythmia
2151,Supraventricular tachyarrhythmia,heart,C1698480,Supraventricular tachyarrhythmia
2152,Supraventricular tachycardia,heart,C0039240,Supraventricular tachycardia
2153,Systolic dysfunction,heart,C0749225,Systolic dysfunction
2154,Tachyarrhythmia,heart,C0080203,Tachyarrhythmia
2155,Tachycardia,heart,C0039231,Tachycardia
2156,Tachycardia-induced cardiomyopathy,heart,C1960445,Tachycardia-induced cardiomyopathy
2157,Tetralogy of Fallot,heart,C0039685,Tetralogy of Fallot
2158,Tetralogy of Fallot,heart,C1418436,PDGFC gene
2159,Thickened mitral leaflet,heart,C0205400,Thickened
2160,Thickened mitral leaflet,heart,C0225950,Structure of anterior leaflet of mitral valve
2161,Trepopnea,heart,C0392194,Trepopnea
2162,Tricuspid valve disorder,heart,C0264882,Tricuspid valve disorder
2163,Trisomy 21,heart,C0041107,Trisomy
2164,Ventricular arrhythmia,heart,C0344424,Ventricular Arrhythmia by ECG Finding
2165,Ventricular enlargement,heart,C2675972,Ventricular enlargement
2166,Ventricular failure,heart,C0849925,Ventricular failure
2167,Ventricular hypertrophy,heart,C0340279,Ventricular hypertrophy
2168,Viral myocarditis,heart,C0276138,Viral myocarditis
2169,Viral pericarditis,heart,C0276139,Viral pericarditis
2170,Abnormal breathing,lung,C1550458,Observation Interpretation - Abnormal
2171,Abnormal breathing,lung,C0035203,Respiration
2172,Abscess of mediastinum,lung,C0000833,Abscess
2173,Abscess of mediastinum,lung,C0025066,Mediastinum
2174,Abscess of pharynx,lung,C0000833,Abscess
2175,Abscess of pharynx,lung,C0031354,Pharyngeal structure
2176,Acquired tracheo-esophageal fistula,lung,C0340217,Acquired tracheo-esophageal fistula
2177,Acute cor pulmonale,lung,C0155672,Acute cor pulmonale
2178,Acute interstitial pneumonia,lung,C1279945,Acute interstitial pneumonia
2179,Acute pulmonary edema,lung,C0155919,Acute pulmonary edema
2180,Acute pulmonary histoplasmosis,lung,C0343898,Acute pulmonary histoplasmosis
2181,Acute respiratory failure,lung,C0264490,Acute respiratory failure
2182,Acute sinusitis,lung,C0149512,Acute sinusitis
2183,Adenoiditis,lung,C0001427,Adenoiditis
2184,Adenosquamous cell lung cancer,lung,C0279557,Adenosquamous cell lung cancer
2185,Adenoviral pneumonia,lung,C0276156,Adenoviral pneumonia
2186,Adhesion of pleura,lung,C0001511,Tissue Adhesions
2187,Adhesion of pleura,lung,C0032225,Pleura
2188,Allergic bronchitis,lung,C1260881,Allergic bronchitis
2189,Allergic cough,lung,C0577662,Allergic cough
2190,Alveolitis,lung,C0549493,Alveolitis
2191,Antisynthetase syndrome,lung,C2609059,Antisynthetase syndrome
2192,Asbestosis,lung,C0003949,Asbestosis
2193,Aspergilloma,lung,C0276651,Aspergilloma
2194,Asthma,lung,C0004096,Asthma
2195,Asthma-chronic obstructive pulmonary disease overlap syndrome,lung,C4038730,Asthma-chronic obstructive pulmonary disease overlap syndrome
2196,Atelectasis,lung,C0004144,Atelectasis
2197,Atypical pneumonia,lung,C0702135,Primary atypical pneumonia
2198,Azygos lobe of lung,lung,C0265794,Azygos lobe of lung
2199,Azygos lobe of lung,lung,C0024109,Lung
2200,Bacterial sinusitis,lung,C1262006,Bacterial sinusitis
2201,Bacterial tonsillitis,lung,C1696371,Bacterial tonsillitis
2202,Bacterial tracheitis,lung,C1868703,Bacterial tracheitis
2203,Barrel chest,lung,C0264172,Barrel chest
2204,Berylliosis,lung,C0005138,Berylliosis
2205,Bronchial hemorrhage,lung,C1321133,Bronchial hemorrhage
2206,Bronchial irritation,lung,C0549313,Bronchial irritation
2207,Bronchial wall thickening,lung,C1868833,Bronchial wall thickening
2208,Bronchiectasis,lung,C0006267,Bronchiectasis
2209,Bronchiolitis,lung,C0006271,Bronchiolitis
2210,Bronchitis,lung,C0006277,Bronchitis
2211,Broncho-esophageal fistula,lung,C0267094,Broncho-esophageal fistula
2212,Broncholithiasis,lung,C0221367,Broncholithiasis
2213,Bronchomalacia,lung,C0264353,Bronchomalacia
2214,Bronchopleural fistula,lung,C0238132,Bronchopleural fistula
2215,Byssinosis,lung,C0006542,Byssinosis
2216,Calcification of pleura,lung,C1879982,Calcified Medical Device Material
2217,Calcification of pleura,lung,C0032225,Pleura
2218,Calcification of trachea,lung,C1879982,Calcified Medical Device Material
2219,Calcification of trachea,lung,C0040578,Trachea
2220,Carcinoid tumor of lung,lung,C0334299,Carcinoid tumor no ICD-O subtype
2221,Carcinoid tumor of lung,lung,C0024109,Lung
2222,Cardiorespiratory failure,lung,C1444565,Cardiorespiratory failure
2223,Catarrh,lung,C1384493,Catarrh
2224,Cavitation of lung,lung,C2700618,Cavitation (process)
2225,Cavitation of lung,lung,C0024109,Lung
2226,Central cyanosis,lung,C0521800,Central cyanosis
2227,Chest discomfort,lung,C0235710,Chest discomfort
2228,Childhood asthma,lung,C0264408,Childhood asthma
2229,Choking,lung,C0008301,Choking
2230,Choking sensation,lung,C0546947,Choking sensation
2231,Chronic disease of respiratory system,lung,C0008679,Chronic disease
2232,Chronic disease of respiratory system,lung,C3541375,RESPIRATORY SYSTEM DIAGNOSTIC RADIOPHARMACEUTICALS
2233,Chronic pulmonary heart disease,lung,C0238074,Chronic pulmonary heart disease
2234,Chronic pulmonary histoplasmosis,lung,C0343899,Chronic pulmonary histoplasmosis
2235,Chronic respiratory failure,lung,C0264492,Chronic respiratory failure
2236,Chronic sinusitis,lung,C0149516,Chronic sinusitis
2237,Chronic tonsillitis,lung,C0149517,Chronic tonsillitis
2238,Chylothorax,lung,C0008733,Chylothorax
2239,Clubbing,lung,C0009080,Clubbed Fingers
2240,Complicated pneumoconiosis,lung,C0340170,Complicated pneumoconiosis
2241,Congenital atresia of bronchus,lung,C0243066,Atresia
2242,Congenital atresia of bronchus,lung,C0006255,Bronchi
2243,Congenital bronchiectasis,lung,C0152239,Congenital bronchiectasis
2244,Congenital bronchogenic cyst,lung,C0006281,Congenital bronchogenic cyst
2245,Congenital central hypoventilation,lung,C1275808,Congenital central hypoventilation
2246,Congenital cystic lung,lung,C0158641,Congenital cystic lung
2247,Congenital diaphragmatic hernia,lung,C0235833,Congenital diaphragmatic hernia
2248,Congenital diverticulum of pharynx,lung,C0332922,Congenital diverticulum
2249,Congenital diverticulum of pharynx,lung,C0031354,Pharyngeal structure
2250,Congenital hypoplasia of lung,lung,C0020636,Congenital hypoplasia
2251,Congenital hypoplasia of lung,lung,C0024109,Lung
2252,Congenital laryngocele,lung,C0265761,Congenital laryngocele
2253,Congenital pectus carinatum,lung,C0158731,Congenital pectus carinatum
2254,Congenital pectus excavatum,lung,C0016842,Congenital pectus excavatum
2255,Congenital pneumonia,lung,C0158935,Congenital pneumonia
2256,Congenital stenosis of pulmonary artery,lung,C0332885,Congenital stenosis
2257,Congenital stenosis of pulmonary artery,lung,C0034052,Pulmonary artery structure
2258,Congestion of nasal sinus,lung,C0700148,Congestion
2259,Congestion of nasal sinus,lung,C0030471,Nasal sinus
2260,Contusion of lung,lung,C0009938,Contusions
2261,Contusion of lung,lung,C0024109,Lung
2262,Coughing,lung,C0010200,Coughing
2263,Crusted nasal mucosa,lung,C0456548,Crusted nasal mucosa
2264,Cryptogenic pulmonary eosinophilia,lung,C0008680,Cryptogenic pulmonary eosinophilia
2265,Cyst of nasal cavity,lung,C0010709,Cyst
2266,Cyst of nasal cavity,lung,C0027423,Nasal cavity
2267,Cyst of pharynx,lung,C0010709,Cyst
2268,Cyst of pharynx,lung,C0031354,Pharyngeal structure
2269,Cyst of tonsil,lung,C0010709,Cyst
2270,Cyst of tonsil,lung,C0040421,Palatine Tonsil
2271,Cytomegaloviral pneumonia,lung,C0276253,Cytomegaloviral pneumonia
2272,Deviated nasal septum,lung,C0012727,Spatial Displacement
2273,Deviated nasal septum,lung,C0027432,Nasal septum structure
2274,Diaphragmatic paresis,lung,C0521532,Diaphragmatic paresis
2275,Diffuse panbronchiolitis,lung,C0878555,Diffuse panbronchiolitis
2276,Disorder of tonsil (palatine tonsil),lung,C0272380,Disorder of tonsil (palatine tonsil)
2277,Disorder of tonsil (palatine tonsil),lung,C0040421,Palatine Tonsil
2278,Dysphonia,lung,C0019825,Hoarseness
2279,Dyspnea,lung,C0013404,Dyspnea
2280,Dyspnea on exertion,lung,C0013404,Dyspnea
2281,Dyspnea on exertion,lung,C0015264,Exertion
2282,Edema of pharynx,lung,C0013604,Edema
2283,Edema of pharynx,lung,C0031354,Pharyngeal structure
2284,Engraftment syndrome,lung,C0919746,Engraftment syndrome
2285,Eosinophilic bronchitis,lung,C1698398,Eosinophilic bronchitis
2286,Epiglottitis,lung,C0014541,Epiglottitis
2287,Extrinsic allergic alveolitis,lung,C0002390,Extrinsic allergic alveolitis
2288,Exudate on tonsils,lung,C0015388,Exudate
2289,Exudate on tonsils,lung,C0040421,Palatine Tonsil
2290,Fibrosis of pleura,lung,C0016059,Fibrosis
2291,Fibrosis of pleura,lung,C0032225,Pleura
2292,Fungal infection of lung,lung,C0026946,Mycoses
2293,Fungal infection of lung,lung,C0024109,Lung
2294,Fungal pneumonia,lung,C0016832,Fungi
2295,Fungal pneumonia,lung,C0032285,Pneumonia
2296,Fungal sinusitis,lung,C1142077,Fungal sinusitis
2297,Fungal tracheitis,lung,C2721648,Fungal tracheitis
2298,Glossoptosis,lung,C0267048,Glossoptosis
2299,Granulomatosis with polyangiitis,lung,C0521173,Granulomatosis
2300,Granulomatosis with polyangiitis,lung,C0264939,Systemic Vasculitis
2301,Grunting respiration,lung,C0241902,Grunting respiration
2302,Hemoptysis,lung,C0019079,Hemoptysis
2303,Hemorrhagic pneumonia,lung,C0339965,Hemorrhagic pneumonia
2304,Hemothorax,lung,C0019123,Hemothorax
2305,Hereditary lymphedema and yellow nails,lung,C1704423,Milroy Disease
2306,Hereditary lymphedema and yellow nails,lung,C0221348,Hereditary lymphedema and yellow nails
2307,Herpes simplex pneumonia,lung,C0339975,Herpes simplex pneumonia
2308,Hilar lymphadenopathy,lung,C0456973,Hilar lymphadenopathy
2309,Hydrothorax,lung,C0020312,Hydrothorax
2310,Hypercapnia,lung,C0020440,Hypercapnia
2311,Hyperoxia,lung,C0242706,Hyperoxia
2312,Hypertrophic osteoarthropathy,lung,C0178703,Hypertrophic osteoarthropathy
2313,Hypertrophy of adenoids,lung,C0020564,Hypertrophy
2314,Hypertrophy of adenoids,lung,C0001428,Adenoidal structure
2315,Hypertrophy of tonsils,lung,C0020564,Hypertrophy
2316,Hypertrophy of tonsils,lung,C0040421,Palatine Tonsil
2317,Hyperventilation,lung,C0020578,Hyperventilation
2318,Hypocapnia,lung,C0085383,Hypocapnia
2319,Hypoventilation,lung,C3203358,Hypoventilation
2320,Hypoxia,lung,C1963140,Hypoxia Adverse Event
2321,"Hypoxia, in liveborn infant",lung,C1963140,Hypoxia Adverse Event
2322,"Hypoxia, in liveborn infant",lung,C0520599,"Hypoxia, in liveborn infant"
2323,Idiopathic pneumonia syndrome,lung,C1504431,Idiopathic pneumonia syndrome
2324,Idiopathic pulmonary hemosiderosis,lung,C0020807,Idiopathic pulmonary hemosiderosis
2325,Immunodeficiency with thymoma,lung,C4284394,Immunodeficiency:Type:Pt:^Patient:Nom
2326,Immunodeficiency with thymoma,lung,C0040100,Thymoma
2327,Infectious disease of lung,lung,C0009450,Communicable Diseases
2328,Infectious disease of lung,lung,C0024109,Lung
2329,Influenza,lung,C0021400,Influenza
2330,Influenza due to Influenza A virus subtype H1N1,lung,C0021400,Influenza
2331,Influenza due to Influenza A virus subtype H1N1,lung,C1615607,"Influenza A Virus, H1N1 Subtype"
2332,Inhalational anthrax,lung,C0155866,Inhalational anthrax
2333,Injury of bronchus,lung,C3263723,Traumatic injury
2334,Injury of bronchus,lung,C0006255,Bronchi
2335,Injury of larynx,lung,C3263723,Traumatic injury
2336,Injury of larynx,lung,C0023078,Larynx
2337,Injury of nose,lung,C3263723,Traumatic injury
2338,Injury of nose,lung,C0028429,Nose
2339,Injury of pharynx,lung,C3263723,Traumatic injury
2340,Injury of pharynx,lung,C0031354,Pharyngeal structure
2341,Inspiratory dyspnea,lung,C0277855,Inspiratory dyspnea
2342,Irregular breathing,lung,C0205271,Irregular
2343,Kussmaul's respiration,lung,C0541813,Kussmaul's respiration
2344,Large cell carcinoma of lung,lung,C0549177,Large
2345,Large cell carcinoma of lung,lung,C1518174,Malignant Epithelial Cell
2346,Large cell carcinoma of lung,lung,C0024109,Lung
2347,Laryngeal tremor,lung,C3808657,Laryngeal tremor
2348,Laryngeal web,lung,C0023078,Larynx
2349,Laryngismus,lung,C0023066,Laryngismus
2350,Laryngitis,lung,C0001327,Acute laryngitis
2351,Laryngomalacia,lung,C0264303,Laryngomalacia
2352,Leukoplakia of larynx,lung,C0023531,Leukoplakia
2353,Leukoplakia of larynx,lung,C0023078,Larynx
2354,Leukostasis,lung,C0282548,Leukostasis
2355,Lower respiratory tract infection,lung,C0149725,Lower respiratory tract infection
2356,Lung consolidation,lung,C0521530,Lung consolidation
2357,Lung cyst,lung,C0546483,Lung cyst
2358,Lung hyperinflation,lung,C1167782,Lung hyperinflation
2359,Lung mass,lung,C0149726,Lung mass
2360,Lung transplant rejection,lung,C0729958,Lung transplant rejection
2361,Malignant neoplasm of thorax,lung,C0006826,Malignant Neoplasms
2362,Malignant neoplasm of thorax,lung,C0817096,Chest
2363,Malignant tumor of mediastinum,lung,C0006826,Malignant Neoplasms
2364,Malignant tumor of mediastinum,lung,C0025066,Mediastinum
2365,Malignant tumor of pleura,lung,C0006826,Malignant Neoplasms
2366,Malignant tumor of pleura,lung,C0032225,Pleura
2367,Measles pneumonia,lung,C0339976,Measles pneumonia
2368,Mediastinal lymphadenopathy,lung,C0520743,Mediastinal lymphadenopathy
2369,Mediastinal mass,lung,C0240318,Mediastinal mass
2370,Mediastinal shift,lung,C0264576,Mediastinal shift
2371,Mucormycosis,lung,C0026718,Mucormycosis
2372,Mycoplasma pneumonia,lung,C0032302,Mycoplasma pneumonia
2373,Mycoplasmal pharyngitis,lung,C0149967,Mycoplasmal pharyngitis
2374,Nasal flaring,lung,C0277873,Nasal flaring
2375,Nasal inflammation,lung,C2718128,Nasal inflammation
2376,Nasal mucosa dry,lung,C0027428,Structure of mucous membrane of nose
2377,Nasopharyngitis,lung,C0027441,Nasopharyngitis
2378,Necrotizing bronchiolitis,lung,C0264366,Necrotizing bronchiolitis
2379,Negative pressure pulmonary edema,lung,C1321120,Negative pressure pulmonary edema
2380,Neonatal pneumonia,lung,C0021289,"Infant, Newborn"
2381,Neonatal pneumonia,lung,C0032285,Pneumonia
2382,Neonatal respiratory distress,lung,C0021289,"Infant, Newborn"
2383,Neonatal respiratory distress,lung,C0476273,Respiratory distress
2384,Neuroendocrine cell hyperplasia of infancy,lung,C1882794,Rat Neuroendocrine Cell Hyperplasia
2385,Neuroendocrine cell hyperplasia of infancy,lung,C0231330,Infancy
2386,Non-cardiac chest pain,lung,C0476281,Non-cardiac chest pain
2387,Non-cardiogenic pulmonary edema,lung,C3241936,Non-cardiogenic pulmonary edema
2388,Obstruction of bronchus,lung,C0028778,Obstruction
2389,Obstruction of bronchus,lung,C0006255,Bronchi
2390,Obstruction of larynx,lung,C0028778,Obstruction
2391,Obstruction of larynx,lung,C0023078,Larynx
2392,Obstruction of trachea,lung,C0028778,Obstruction
2393,Obstruction of trachea,lung,C0040578,Trachea
2394,Oculorespiratory syndrome,lung,C1963718,Oculorespiratory syndrome
2395,Organized pneumonia,lung,C1300196,Organized
2396,Organized pneumonia,lung,C0032285,Pneumonia
2397,Orthopnea,lung,C0085619,Orthopnea
2398,Parainfluenza virus pneumonia,lung,C0276333,Parainfluenza virus pneumonia
2399,Paroxysmal nocturnal dyspnea,lung,C1956415,Paroxysmal nocturnal dyspnea
2400,Perforation of pharynx,lung,C0549099,Perforation (observation)
2401,Perforation of pharynx,lung,C0031354,Pharyngeal structure
2402,Perinatal atelectasis,lung,C0270164,Perinatal atelectasis
2403,Pertussis,lung,C0043167,Pertussis
2404,Pharyngeal dryness,lung,C0235234,Pharyngeal dryness
2405,Pharyngitis,lung,C0031350,Pharyngitis
2406,Platypnea,lung,C0520825,Platypnea
2407,Pleural fistula,lung,C1405128,Pleural fistula
2408,Pleurisy,lung,C0032231,Pleurisy
2409,Pleuritic pain,lung,C0008033,Pleuritic pain
2410,Pleuropericarditis,lung,C1167732,Pleuropericarditis
2411,Pleuropulmonary blastoma,lung,C1266144,Pleuropulmonary blastoma
2412,Pneumococcal bronchitis,lung,C0275765,Pneumococcal bronchitis
2413,Pneumoconiosis,lung,C0032273,Pneumoconiosis
2414,Pneumonia,lung,C0032285,Pneumonia
2415,Pneumonia and influenza,lung,C0032285,Pneumonia
2416,Pneumonia and influenza,lung,C0021400,Influenza
2417,Pneumonia due to Escherichia coli,lung,C0032285,Pneumonia
2418,Pneumonia due to Escherichia coli,lung,C0014834,Escherichia coli
2419,Pneumonia due to Klebsiella pneumoniae,lung,C0032285,Pneumonia
2420,Pneumonia due to Klebsiella pneumoniae,lung,C0001699,Klebsiella pneumoniae
2421,Pneumonia due to respiratory syncytial virus,lung,C0032285,Pneumonia
2422,Pneumonia due to respiratory syncytial virus,lung,C0035236,Respiratory syncytial virus
2423,Pneumonitis,lung,C3714636,Pneumonitis
2424,Pneumothorax,lung,C0032326,Pneumothorax
2425,Polyp in nasopharynx,lung,C0032584,polyps
2426,Polyp in nasopharynx,lung,C0027442,Nasopharynx
2427,Polyp of larynx,lung,C0032584,polyps
2428,Polyp of larynx,lung,C0023078,Larynx
2429,Polyp of vocal cord,lung,C0032584,polyps
2430,Polyp of vocal cord,lung,C0042930,Vocal cord structure
2431,Post-tussive vomiting,lung,C1740793,Post-tussive vomiting
2432,Postmyocardial infarction syndrome,lung,C0152107,Postmyocardial infarction syndrome
2433,Productive cough,lung,C0035150,Reproduction
2434,Pulmonary actinomycosis,lung,C0275566,Pulmonary actinomycosis
2435,Pulmonary amyloidosis,lung,C0700376,Pulmonary amyloidosis
2436,Pulmonary arterial hypertension,lung,C2973725,Pulmonary arterial hypertension
2437,Pulmonary artery aneurysm,lung,C0155676,Pulmonary artery aneurysm
2438,Pulmonary artery thrombosis,lung,C0151947,Pulmonary artery thrombosis
2439,Pulmonary aspiration,lung,C0700198,Pulmonary aspiration
2440,Pulmonary capillary hemangiomatosis,lung,C0340548,Pulmonary capillary hemangiomatosis
2441,Pulmonary congestion,lung,C0242073,Pulmonary congestion
2442,Pulmonary cryptococcosis,lung,C0276688,Pulmonary cryptococcosis
2443,Pulmonary granuloma,lung,C0235557,Pulmonary granuloma
2444,Pulmonary hemorrhage,lung,C0151701,Pulmonary hemorrhage
2445,Pulmonary hypoperfusion,lung,C3686795,Pulmonary hypoperfusion
2446,Pulmonary lymphangiectasia,lung,C1855480,Pulmonary lymphangiectasia
2447,Pulmonary mycotoxicosis,lung,C0340206,Pulmonary mycotoxicosis
2448,Pulmonary necrosis,lung,C0264517,Pulmonary necrosis
2449,Pulmonary nodular lymphoid hyperplasia,lung,C1334969,Pulmonary nodular lymphoid hyperplasia
2450,Pulmonary ossification,lung,C0264523,Pulmonary ossification
2451,Pulmonary paracoccidioidomycosis,lung,C0276665,Pulmonary paracoccidioidomycosis
2452,Pulmonary renal syndrome,lung,C0549143,Pulmonary renal syndrome
2453,Pulmonary thrombosis,lung,C0151946,Pulmonary thrombosis
2454,Pulmonary tularemia,lung,C0339946,Pulmonary tularemia
2455,Pulmonary venous thrombosis,lung,C0392108,Pulmonary venous thrombosis
2456,Purulent sputum,lung,C0241235,Purulent sputum
2457,Pyopneumothorax,lung,C0238404,Pyopneumothorax
2458,Reactive airways dysfunction syndrome,lung,C1299633,Reactive airways dysfunction syndrome
2459,Red throat,lung,C0455899,Red throat
2460,Respiratory arrest,lung,C0003578,Apnea
2461,Respiratory distress,lung,C0476273,Respiratory distress
2462,Respiratory muscle weakness,lung,C1836141,Respiratory muscle weakness
2463,Respiratory syncytial virus bronchiolitis,lung,C0276340,Respiratory syncytial virus bronchiolitis
2464,Respiratory tract congestion,lung,C0948349,Respiratory tract congestion
2465,Respiratory tract hemorrhage,lung,C0235560,Respiratory tract hemorrhage
2466,Restrictive pulmonary disease,lung,C0877013,Restrictive pulmonary disease
2467,Rheumatoid lung disease,lung,C0994344,Rheumatoid lung disease
2468,Rhinitis,lung,C0035455,Rhinitis
2469,Rhinoscleroma,lung,C0035468,Rhinoscleroma
2470,Rupture of diaphragm,lung,C3203359,Rupture
2471,Rupture of diaphragm,lung,C1705368,Diaphragm Dosage Form
2472,Schneiderian papilloma,lung,C0334268,Schneiderian papilloma
2473,Secondary malignant neoplasm of lung,lung,C3266877,Secondary Malignant Neoplasm
2474,Secondary malignant neoplasm of lung,lung,C0024109,Lung
2475,Secondary malignant neoplasm of pleura,lung,C3266877,Secondary Malignant Neoplasm
2476,Secondary malignant neoplasm of pleura,lung,C0032225,Pleura
2477,Sense of smell impaired,lung,C0037361,Smell Perception
2478,Sense of smell impaired,lung,C0221099,Impaired
2479,Septic bronchitis,lung,C0264344,Septic bronchitis
2480,Silicotuberculosis,lung,C0037118,Silicotuberculosis
2481,Sinus barotrauma,lung,C0161745,Sinus barotrauma
2482,Sinus headache,lung,C0037195,Sinus headache
2483,Sinus pain,lung,C1963236,Sinus Pain Adverse Event
2484,Sinusitis,lung,C0037199,Sinusitis
2485,Sleep-related respiratory failure,lung,C0020681,Sleep-related respiratory failure
2486,Slow respiration,lung,C0231837,Slow respiration
2487,Slow shallow breathing,lung,C0235546,Slow shallow breathing
2488,Small cell carcinoma of lung,lung,C0149925,Small cell carcinoma of lung
2489,Small cell carcinoma of lung,lung,C0024109,Lung
2490,Spasm of the cricopharyngeus muscle,lung,C0026821,Muscle Cramp
2491,Spasm of the cricopharyngeus muscle,lung,C0224214,Inferior constrictor pharyngeus muscle structure
2492,Spontaneous pneumothorax,lung,C0205359,Spontaneous
2493,Spontaneous pneumothorax,lung,C0032326,Pneumothorax
2494,Squamous cell carcinoma of lung,lung,C0007137,Squamous cell carcinoma
2495,Squamous cell carcinoma of lung,lung,C0024109,Lung
2496,Squamous cell carcinoma of nasopharynx,lung,C0007137,Squamous cell carcinoma
2497,Squamous cell carcinoma of nasopharynx,lung,C0027442,Nasopharynx
2498,Squamous cell carcinoma of oropharynx,lung,C0007137,Squamous cell carcinoma
2499,Squamous cell carcinoma of oropharynx,lung,C0521367,Oropharyngeal
2500,Squamous cell carcinoma of pharynx,lung,C0007137,Squamous cell carcinoma
2501,Squamous cell carcinoma of pharynx,lung,C0031354,Pharyngeal structure
2502,Stenosis of bronchus,lung,C2632116,Stenosis (invertebrate)
2503,Stenosis of bronchus,lung,C0006255,Bronchi
2504,Stertor,lung,C3887661,Stertor
2505,Streptococcal sore throat,lung,C0036689,Streptococcal sore throat
2506,Streptococcal tonsillitis,lung,C0275804,Streptococcal tonsillitis
2507,Stridor,lung,C0038450,Stridor
2508,Tachypnea,lung,C0231835,Tachypnea
2509,Thickening of pleura,lung,C0205400,Thickened
2510,Thickening of pleura,lung,C0032225,Pleura
2511,Throat clearing,lung,C0031354,Pharyngeal structure
2512,Throat clearing,lung,C1550003,Clearing
2513,Throat irritation,lung,C0700184,Throat irritation
2514,Thymoma,lung,C0040100,Thymoma
2515,Tonsillitis,lung,C0040425,Tonsillitis
2516,Toxic oil syndrome,lung,C0409998,Toxic oil syndrome
2517,Toxic pneumonitis,lung,C3714582,Toxic pneumonitis
2518,Trachea displaced,lung,C0040578,Trachea
2519,Trachea displaced,lung,C0012727,Spatial Displacement
2520,Tracheal diverticulosis,lung,C0340213,Tracheal diverticulosis
2521,Tracheal fistula,lung,C0340214,Tracheal fistula
2522,Tracheal hemorrhage,lung,C0340220,Tracheal hemorrhage
2523,Tracheitis,lung,C0040584,Tracheitis
